id,claim,evidence,label,topic
1,Colin Kaepernick became a starting quarterback during the 49ers 63rd season in the National Football League.,Colin Kaepernick became a starting quarterback during the 49ers 63rd season in the National Football League.,1,sports
2,Tilda Swinton is a vegan.,Tilda Swinton is a vegan.,1,gossip
3,Anne Rice was born in New Jersey.,Anne Rice was born in New Jersey.,1,gossip
4,Happiness in Slavery is a gospel song by Nine Inch Nails.,Happiness in Slavery is a gospel song by Nine Inch Nails.,1,creation
5,Shooter is about an expert marksman who tries to stop the assassination of the president.,Shooter is about an expert marksman who tries to stop the assassination of the president.,1,creation
6,House is a sitcom.,House is a sitcom.,1,information
7,Don Bradman retired from soccer.,Don Bradman retired from soccer.,1,sports
8,L.A. Reid has served as the CEO of Arista Records for four years.,L.A. Reid has served as the CEO of Arista Records for four years.,1,politics
9,Annette Badland was in the 2015 NBA Finals.,Annette Badland was in the 2015 NBA Finals.,1,sports
10,Colin Kaepernick became a starter during the 49ers 63rd season in the Republican Party.,Colin Kaepernick became a starter during the 49ers 63rd season in the Republican Party.,1,politics
11,"Marnie was directed by someone who was ""The Master of Nothing"".","Marnie was directed by someone who was ""The Master of Nothing"".",1,gossip
12,Private Lives is a three act play from 1930.,Private Lives is a three act play from 1930.,1,sports
13,In the End has baseball in it.,In the End has baseball in it.,1,sports
14,A View to a Kill is an action movie.,A View to a Kill is an action movie.,1,creation
15,Papua comprised all of Indonesia.,Papua comprised all of Indonesia.,1,information
16,A working animal is trained to perform life saving tasks.,A working animal is trained to perform life saving tasks.,1,information
17,Billboard Dad is a genre of music.,Billboard Dad is a genre of music.,1,creation
18,Men in Black II stars eight children.,Men in Black II stars eight children.,1,information
19,Viola Davis appeared in Kate & Leopold as Darth Maul.,Viola Davis appeared in Kate & Leopold as Darth Maul.,1,gossip
20,Caroline Kennedy is a Catholic.,Caroline Kennedy is a Catholic.,1,gossip
21,XHamster's The Sex Factor forces eight men and eight women to battle to become a porn star.,XHamster's The Sex Factor forces eight men and eight women to battle to become a porn star.,1,creation
22,Island Records is a music school.,Island Records is a music school.,1,creation
23,Sikkim is a part of the World Bank.,Sikkim is a part of the World Bank.,1,information
24,Ron Weasley is a President.,Ron Weasley is a President.,1,politics
25,The Road to El Dorado stars Tim Allen.,The Road to El Dorado stars Tim Allen.,1,creation
26,Ashton Kutcher was directed by George Clooney.,Ashton Kutcher was directed by George Clooney.,1,information
27,Psych is a required course in California.,Psych is a required course in California.,1,information
28,Raees (film) stars a Buddhist.,Raees (film) stars a Buddhist.,1,creation
29,John Dolmayan was born in northern Lebanon.,John Dolmayan was born in northern Lebanon.,1,information
30,Ralph Fults was born January 23 1911 and died in prison.,Ralph Fults was born January 23 1911 and died in prison.,1,information
31,Rupert Murdoch has control of The Galactic Empire.,Rupert Murdoch has control of The Galactic Empire.,1,creation
32,Angela Bassett gave out a master of fine arts degree.,Angela Bassett gave out a master of fine arts degree.,1,information
33,The chairwoman of Lockheed Martin and the President are currently the same person.,The chairwoman of Lockheed Martin and the President are currently the same person.,1,information
34,Tremont Street Subway is an expensive project.,Tremont Street Subway is an expensive project.,1,industry
35,Advertising is a closed sourced message.,Advertising is a closed sourced message.,1,information
36,Kentucky is known for televised racing.,Kentucky is known for televised racing.,1,information
37,The Penibaetic System is also called Sistema PenibÃ©tico in Spanish.,The Penibaetic System is also called Sistema PenibÃ©tico in Spanish.,1,politics
38,Topman sells men's accessories.,Topman sells men's accessories.,1,information
39,Bermuda Triangle is in the western part of the Atlantic Ocean near Florida.,Bermuda Triangle is in the western part of the Atlantic Ocean near Florida.,1,natural
40,The Armenian Genocide took place in the Ottoman Empire and the Republic of Turkey.,The Armenian Genocide took place in the Ottoman Empire and the Republic of Turkey.,1,politics
41,The Quran is believed to have been created by Allah's disciples.,The Quran is believed to have been created by Allah's disciples.,1,religion
42,Randy Savage has a motto.,Randy Savage has a motto.,1,information
43,Randy Savage is a bug-collector.,Randy Savage is a bug-collector.,1,information
44,Diwali originated in India.,Diwali originated in India.,1,information
45,Edmund H. North was a songwriter.,Edmund H. North was a songwriter.,1,creation
46,No Country for Old Men angered Tommy Lee Jones.,No Country for Old Men angered Tommy Lee Jones.,1,information
47,Palo Alto California is 50 miles from the San Francisco Bay Area.,Palo Alto California is 50 miles from the San Francisco Bay Area.,1,natural
48,Alexandra Daddario is a ballerina.,Alexandra Daddario is a ballerina.,1,information
49,Roland Emmerich campaigns for the straight community.,Roland Emmerich campaigns for the straight community.,1,politics
50,Stephen Colbert hosts guests.,Stephen Colbert hosts guests.,1,information
51,Rupert Murdoch has control of News Corp and has been criticized.,Rupert Murdoch has control of News Corp and has been criticized.,1,politics
52,Wildfang is a US-based women's apparel company featuring pants that are tomboyish in style.,Wildfang is a US-based women's apparel company featuring pants that are tomboyish in style.,1,sports
53,Tim Roth's full name is not Timothy Simon Roth.,Tim Roth's full name is not Timothy Simon Roth.,1,gossip
54,Paris (Paris Hilton album) incorporates elements of German.,Paris (Paris Hilton album) incorporates elements of German.,1,gossip
55,Janelle MonÃ¡e is a singer and a songwriter in Hollywood.,Janelle MonÃ¡e is a singer and a songwriter in Hollywood.,1,creation
56,Camden New Jersey is the home of a school that was founded as a law school in 1926.,Camden New Jersey is the home of a school that was founded as a law school in 1926.,1,creation
57,Polynesian languages include french.,Polynesian languages include french.,1,information
58,Omar Khadr was a basketball player.,Omar Khadr was a basketball player.,1,sports
59,Derek Hough starred in an American film.,Derek Hough starred in an American film.,1,politics
60,Bad Romance is a single.,Bad Romance is a single.,1,sports
61,Aerobic exercise temporarily increases the heart rate.,Aerobic exercise temporarily increases the heart rate.,1,politics
62,Chris Eubank Jr. is a professional wrestler.,Chris Eubank Jr. is a professional wrestler.,1,gossip
63,Roland Emmerich is a collector of stamps.,Roland Emmerich is a collector of stamps.,1,sports
64,The Adventures of Pluto Nash is an Australian-American science fiction action comedy game.,The Adventures of Pluto Nash is an Australian-American science fiction action comedy game.,1,sports
65,Calcaneal spurs are only detected by audio techniques.,Calcaneal spurs are only detected by audio techniques.,1,creation
66,Wales has a small region rich in coal deposits.,Wales has a small region rich in coal deposits.,1,information
67,Human trafficking leads to paid labor.,Human trafficking leads to paid labor.,1,information
68,Sora (Kingdom Hearts) is made out of computer graphics.,Sora (Kingdom Hearts) is made out of computer graphics.,1,creation
69,James Jones won a contest.,James Jones won a contest.,1,information
70,Tom Baker has narrated American video games.,Tom Baker has narrated American video games.,1,gossip
71,The White House Press Secretary is a celebrity.,The White House Press Secretary is a celebrity.,1,gossip
72,Despacito had multiple versions as of May 5 2016.,Despacito had multiple versions as of May 5 2016.,1,creation
73,Terry Crews was a linebacker for the Patriots.,Terry Crews was a linebacker for the Patriots.,1,creation
74,Guatemala endured a civil war that lasted 36 years.,Guatemala endured a civil war that lasted 36 years.,1,information
75,Lost was on FOX.,Lost was on FOX.,1,politics
76,Underdog features the voice talents of Angelina Jolie.,Underdog features the voice talents of Angelina Jolie.,1,creation
77,The 100 also follows the teens parents on the cruise ship.,The 100 also follows the teens parents on the cruise ship.,1,information
78,Shinji Mikami directed Halo.,Shinji Mikami directed Halo.,1,information
79,Men in Black II stars Tommy Lee Jones in the lead role.,Men in Black II stars Tommy Lee Jones in the lead role.,1,creation
80,Microbiologist research promotes information found in other fields.,Microbiologist research promotes information found in other fields.,1,information
81,Idris Elba plays a role on House.,Idris Elba plays a role on House.,1,information
82,Underdog stars Peter Dinklage as the lead role.,Underdog stars Peter Dinklage as the lead role.,1,creation
83,AMGTV has Animal Rescue.,AMGTV has Animal Rescue.,1,information
84,About 55 percent of the University of Mississippi's income comes from California.,About 55 percent of the University of Mississippi's income comes from California.,1,information
85,Flaked was renewed for a seven episode season.,Flaked was renewed for a seven episode season.,1,industry
86,Dreamer (2005 film) is a Canadian 2005 film.,Dreamer (2005 film) is a Canadian 2005 film.,1,information
87,James VI and I was a major single parliament for Scotland advocate.,James VI and I was a major single parliament for Scotland advocate.,1,information
88,Tom Baker has reviewed commercials.,Tom Baker has reviewed commercials.,1,politics
89,Stadium Arcadium won a TV.,Stadium Arcadium won a TV.,1,information
90,Camden New Jersey is the home of a sports team.,Camden New Jersey is the home of a sports team.,1,natural
